Matriu de distancies mínimes:
Origen	Destí	Distancia
22	22	0
22	23	173.25
22	24	269.25
23	1	668.25
23	2	583.25
23	3	487.25
23	4	572.25
23	5	555
23	6	486
23	7	390.25
23	8	380.25
23	9	476.25
23	10	387
23	11	284.25
23	12	380.25
23	13	291
23	14	387
23	15	387.25
23	16	273.25
23	17	192
23	18	288
23	19	196
23	20	96
23	21	192
23	22	173.25
23	23	0
23	24	96
24	1	583.25
24	2	487.25
24	3	391.25
24	4	654
24	5	558
24	6	462
24	7	294.25
24	8	476.25
24	9	572.25
24	10	483
24	11	380.25
24	12	476.25
24	13	387
24	14	363
24	15	483.25
24	16	369.25
24	17	288
24	18	264
24	19	100
24	20	192
24	21	96
24	22	269.25
24	23	96
24	24	0
