Matriu de distancies mínimes:
Origen	Destí	Distancia	Predecessor
8	8	0		0
8	9	96		8
8	10	192		9
8	11	96		8
8	12	192		9
8	13	288		10
8	14	384		13
8	15	288.25		12
8	16	307		22
8	17	387		13
8	18	483		14
8	19	576.25		24
8	20	307		22
8	21	403		20
8	22	207		11
8	23	380.25		22
8	24	476.25		23
9	1	192		4
9	2	288		1
9	3	384		2
9	4	96		9
9	5	264		4
9	6	360		5
9	7	388		14
9	8	96		9
9	9	0		0
9	10	96		9
9	11	192		8
9	12	96		9
9	13	192		10
9	14	288		13
9	15	192.25		12
9	16	288.5		15
9	17	291		13
9	18	387		14
9	19	499		7
9	20	387		17
9	21	483		18
9	22	303		11
9	23	476.25		22
9	24	572.25		23
10	1	288		4
10	2	384		1
10	3	360		6
10	4	192		9
10	5	168		10
10	6	264		5
10	7	292		14
10	8	192		9
10	9	96		10
10	10	0		0
10	11	288		8
10	12	192		9
10	13	96		10
10	14	192		13
10	15	192.25		13
10	16	288.5		15
10	17	195		13
10	18	291		14
10	19	403		7
10	20	291		17
10	21	387		18
10	22	388.5		16
10	23	387		20
10	24	483		23
11	1	384		4
11	2	480		1
11	3	483		6
11	4	288		9
11	5	456		4
11	6	387		14
11	7	388		14
11	8	96		11
11	9	192		8
11	10	288		9
11	11	0		0
11	12	96		11
11	13	192		12
11	14	288		13
11	15	192.25		12
11	16	211		22
11	17	291		13
11	18	387		14
11	19	480.25		24
11	20	211		22
11	21	307		20
11	22	111		11
11	23	284.25		22
11	24	380.25		23
12	1	288		4
12	2	384		1
12	3	387		6
12	4	192		9
12	5	360		4
12	6	291		14
12	7	292		14
12	8	192		9
12	9	96		12
12	10	192		9
12	11	96		12
12	12	0		0
12	13	96		12
12	14	192		13
12	15	96.25		12
12	16	192.5		15
12	17	195		13
12	18	291		14
12	19	403		7
12	20	291		17
12	21	387		18
12	22	207		11
12	23	380.25		22
12	24	476.25		23
13	1	384		4
13	2	387		3
13	3	291		6
13	4	288		9
13	5	264		10
13	6	195		14
13	7	196		14
13	8	288		9
13	9	192		10
13	10	96		13
13	11	192		12
13	12	96		13
13	13	0		0
13	14	96		13
13	15	96.25		13
13	16	192.5		15
13	17	99		13
13	18	195		14
13	19	307		7
13	20	195		17
13	21	291		18
13	22	292.5		16
13	23	291		20
13	24	387		23
14	1	387		2
14	2	291		3
14	3	195		6
14	4	291		5
14	5	195		6
14	6	99		14
14	7	100		14
14	8	456		9
14	9	360		10
14	10	264		13
14	11	360		12
14	12	264		13
14	13	168		14
14	14	0		0
14	15	264.25		13
14	16	291		17
14	17	195		18
14	18	99		14
14	19	211		7
14	20	291		17
14	21	195		18
14	22	391		16
14	23	387		20
14	24	311		19
15	1	384.25		4
15	2	480.25		1
15	3	459.44		6
15	4	288.25		9
15	5	432.44		10
15	6	363.44		14
15	7	364.44		14
15	8	288.25		9
15	9	192.25		12
15	10	264.44		13
15	11	192.25		12
15	12	96.25		15
15	13	168.44		15
15	14	264.44		13
15	15	0		0
15	16	96.25		15
15	17	192.25		16
15	18	288.25		17
15	19	475.44		7
15	20	288.25		17
15	21	384.25		18
15	22	196.25		16
15	23	369.5		22
15	24	465.5		23
16	1	552.69		4
16	2	582		3
16	3	486		6
16	4	456.69		9
16	5	459		10
16	6	390		14
16	7	391		14
16	8	307		11
16	9	360.69		12
16	10	291		13
16	11	211		22
16	12	264.69		15
16	13	195		17
16	14	291		13
16	15	168.44		16
16	16	0		0
16	17	96		16
16	18	192		17
16	19	469.25		24
16	20	192		17
16	21	288		18
16	22	100		16
16	23	273.25		22
16	24	369.25		23
17	1	483		4
17	2	486		3
17	3	390		6
17	4	387		9
17	5	363		10
17	6	294		14
17	7	295		14
17	8	387		9
17	9	291		10
17	10	195		13
17	11	291		12
17	12	195		13
17	13	99		17
17	14	195		13
17	15	195.25		13
17	16	96		17
17	17	0		0
17	18	96		17
17	19	388		24
17	20	96		17
17	21	192		18
17	22	196		16
17	23	192		20
17	24	288		23
18	1	486		2
18	2	390		3
18	3	294		6
18	4	390		5
18	5	294		6
18	6	198		14
18	7	199		14
18	8	483		9
18	9	387		10
18	10	291		13
18	11	387		12
18	12	291		13
18	13	195		17
18	14	99		18
18	15	291.25		13
18	16	192		17
18	17	96		18
18	18	0		0
18	19	310		7
18	20	192		17
18	21	96		18
18	22	292		16
18	23	288		20
18	24	264		21
19	1	483.25		2
19	2	387.25		3
19	3	291.25		7
19	4	585.25		5
19	5	489.25		6
19	6	393.25		14
19	7	194.25		19
19	8	576.25		11
19	9	654.25		10
19	10	558.25		13
19	11	480.25		22
19	12	558.25		13
19	13	462.25		14
19	14	294.25		7
19	15	558.5		13
19	16	469.25		22
19	17	388		20
19	18	364		21
19	19	0		0
19	20	292		21
19	21	196		24
19	22	369.25		23
19	23	196		24
19	24	100		19
20	1	579		4
20	2	582		3
20	3	486		6
20	4	483		9
20	5	459		10
20	6	390		14
20	7	391		14
20	8	307		11
20	9	387		10
20	10	291		13
20	11	211		22
20	12	291		13
20	13	195		17
20	14	291		13
20	15	291.25		13
20	16	192		17
20	17	96		20
20	18	192		17
20	19	292		24
20	20	0		0
20	21	96		20
20	22	100		20
20	23	96		20
20	24	192		23
21	1	654		2
21	2	558		3
21	3	462		6
21	4	558		5
21	5	462		6
21	6	366		14
21	7	367		14
21	8	403		11
21	9	483		10
21	10	387		13
21	11	307		22
21	12	387		13
21	13	291		17
21	14	267		18
21	15	387.25		13
21	16	288		17
21	17	192		20
21	18	168		21
21	19	268		24
21	20	96		21
21	21	0		0
21	22	196		20
21	23	192		20
21	24	168		21
22	1	495		4
22	2	591		1
22	3	586		6
22	4	399		9
22	5	559		10
22	6	490		14
22	7	491		14
22	8	207		11
22	9	303		8
22	10	391		13
22	11	111		22
22	12	207		11
22	13	295		17
22	14	391		13
22	15	268.44		16
22	16	100		22
22	17	196		16
22	18	292		17
22	19	369.25		24
22	20	100		22
22	21	196		20
22	22	0		0
22	23	173.25		22
22	24	269.25		23
23	1	668.25		4
23	2	583.25		3
23	3	487.25		7
23	4	572.25		9
23	5	555		10
23	6	486		14
23	7	390.25		19
23	8	380.25		11
23	9	476.25		8
23	10	387		13
23	11	284.25		22
23	12	380.25		11
23	13	291		17
23	14	387		13
23	15	387.25		13
23	16	273.25		22
23	17	192		20
23	18	288		17
23	19	196		24
23	20	96		23
23	21	192		20
23	22	173.25		23
23	23	0		0
23	24	96		23
24	1	583.25		2
24	2	487.25		3
24	3	391.25		7
24	4	654		5
24	5	558		6
24	6	462		14
24	7	294.25		19
24	8	476.25		11
24	9	572.25		8
24	10	483		13
24	11	380.25		22
24	12	476.25		11
24	13	387		17
24	14	363		18
24	15	483.25		13
24	16	369.25		22
24	17	288		20
24	18	264		21
24	19	100		24
24	20	192		21
24	21	96		24
24	22	269.25		23
24	23	96		24
24	24	0		0
